Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Abbey Road Red,address not found,No borough found on the website,No latitude found,No longitude found,+44 20 7266 7000,,Abbey Road Red,https://www.abbeyroad.com/,https://www.abbeyroad.com/abbeyroadred?,"Abbey Road Red is the innovation department of the world famous Abbey Road Studios, designed to support the endeavours of the brightest entrepreneurs, researchers and developers working in music.",,,,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,
Abingworth,"38 Jermyn St, St. James's, London SW1Y 6DN, UK",Westminster,51.508327,-0.137417,Number not found,Investor/ Funding Org,Abingworth,http://www.abingworth.com/,https://www.abingworth.com/our-strategy,"Abingworth invests in Life Sciences. The investment size is $15-$30m in total per company. Sectors: Biotherapeutics, small molecules, nucleic acid therapeutics, vaccines, specialty pharma, technologies, medical devices, diagnostics, instrumentation.",,,,,,,x,,,,,x,,x,x,,x,,,,x,x,x,x,x,x,
Academy for Chief Executives,"52 Upper St, Islington, London N1 0QH, UK",Islington,51.535509,-0.105346,Number not found,Network/ Membership Org,Academy for Chief Executives,https://chiefexecutive.com/,https://chiefexecutive.com/,"The Academy for Chief Executives provides an opportunity to be part of a community of business leaders from non-competing sectors. Business owners will join a diverse group of business leaders with common business growth goals, who will share best practice and provide mutual support.

",Business growth|Personal development,Advice and Guidance|Mentoring,,,https://www.growthhub.london/scheme/academy-for-chief-executives/,Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Accelerator,"Ashcombe House, 5 The Crescent, Leatherhead, Surrey, KT22 8DY",Mole Valley,51.294842,-0.327596,Number not found,Accelerator/ Incubator/ Co Working Space,Accelerator for Tech Start Ups,http://accelerator-london.com,http://accelerator-london.com,"Accelerator is a business incubator based in Shoreditch for early stage technology start ups. The programme provides support to new business owners through providing workspace, networking events and access to business advisers. Facilities include meeting rooms, super-fast internet and wifi, full-time receptionists, secure bike racks, shower and kitchen.
",Business growth|Business planning|Business start up|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/accelerator/,Starting your business|Premises and open workspace,,,,,x,,,,,,x,,,x,x,x,,x,,,
Accelerator Academy,"123A Borough High St, London SE1 1NP, UK",Southwark,51.503607,-0.091122,+44 20 7504 7083,Accelerator/ Incubator/ Co Working Space,Accelerator Academy,http://acceleratoracademy.com/,http://acceleratoracademy.com/,12 week high growth training and mentoring programme for ambitious digital entrepreneurs.,,,,,,,,,,x,x,,,,,,,,,x,x,x,,x,,,
Accredo,"264 Banbury Road, Oxford, Oxfordshire, OX2 7DY",Oxford,51.77804,-1.264768,Number not found,Investor/ Funding Org,Secured Business Loans from Accredo,http://www.accredoltd.co.uk,http://www.accredoltd.co.uk,"Accredo provides secured business loans from Â£25,000 to Â£1 million, with repayment terms from three months to 10 years. Applications from sole traders, limited companies and partnerships will be considered, along with those from start ups and firms with poor credit histories. All loans are secured against property.
",Business growth|Business start up|Raising finance,Financing your business,"Â£100,000 - Â£250,000|Â£250,000 - Â£500,000",Loan,https://www.growthhub.london/scheme/secured-business-loans/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Action Sustainability,"Town Hall, Peckham Road, London, United Kingdom, SE5 8UB",Southwark,51.474146,-0.082791,+44 20 7697 1977,Enterprise Agency,Sustainable Procurement Training,http://www.actionsustainability.com,http://www.actionsustainability.com/consult/training.aspx,"Action Sustainability provides training services in sustainable procurement and supply chain management. All training is based on the principles of the British Standard for Sustainable Procurement, BS8903. Training ranges from beginners through to more more advanced training, and in-house training programmes are available.

",Business growth|Business planning|Tenders,Finding and growing your team|Accessing new business,,,https://www.growthhub.london/scheme/sustainable-procurement-training/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Action Sustainability,"Town Hall, Peckham Road, London, United Kingdom, SE5 8UB",Southwark,51.474146,-0.082791,+44 20 7697 1977,Enterprise Agency,Sustainable Procurement Consultancy,http://www.actionsustainability.com,https://www.actionsustainability.com/,"Action Sustainability offers consultancy services for businesses seeking more sustainable methods of procurement, by providing training and guidance. It can also review, write and revise procurement strategies, as well as assess and benchmark the sustainability of companies and their suppliers.
",Managing finance|Tenders,Consultancy|Accessing new business,,,https://www.growthhub.london/scheme/procurement-consultancy/,Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Activate Capital,"42 The Grove, Ealing, London W5 5LH, UK",Ealing,51.510471,-0.303621,Number not found,Investor/ Funding Org,Activate Capital Startup Programme,https://www.activatecapital.co.uk/our-programme,https://activate.co.uk/startup-programme,Seeks out entrepreneurs with outstanding digital ideas — then uses their business and technology expertise to guide them to further investment and lasting success in exchange for equity.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,,
ActiveLab,"ukactive, The Bloomsbury Building, 10 Bloomsbury Way, London WC1A 2SL, United Kingdom",Camden,51.517427,-0.124362,Number not found,Accelerator/ Incubator/ Co Working Space,ActiveLab,http://activelab.co/,http://activelab.co/,ActiveLab is an accelerator programme for innovators in sport and physical activity who want to change the lives of millions. They support cutting-edge innovation in health and physical activity from the UK and across the globe.,,,,,,,x,,,,,x,,,x,,x,,,,x,x,,x,x,,
Advent Life Sciences,"158-160 N Gower St, London NW1 2ND, UK",Camden,51.526286,-0.136421,+44 20 7932 2100,Investor/ Funding Org,Advent Life Sciences,http://www.adventls.com/,http://www.adventls.com/,Advent Life Sciences is  focused on building innovative Life Sciences businesses. They invest in early and mid-stage companies.,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,x,x,
Allia Future Business Centre,"18 - 20 London Ln, London E8 3PR, UK",Hackney,51.541839,-0.056284,Number not found,Public Sector,Grow Your Business' Programme,https://futurebusinesscentre.co.uk,https://futurebusinesscentre.co.uk/grow-your-business,"The ‘Grow Your Business’ Programme is exclusive to local and small businesses operating in, or creating opportunities in East London. The focus is on helping to increase business growth and create employment for local people. The programme provides three months of specialist support and the tools to help your local business thrive and grow. Open to all types of businesses; you could be running a café, a corner shop, a local garage, florist or photography business! Through the ‘Grow Your Business’ Programme, participants have access to: 
    Expert workshops
    Peer-to-peer and expert support
    1:1 mentoring
    Specialist advice.
",,Advice and Guidance|Accessing new business,,,https://www.growthhub.london/scheme/grow-your-business-programme/,Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,x,,
Allia Future Business Centre,"18 - 20 London Ln, London E8 3PR, UK",Hackney,51.541839,-0.056284,Number not found,Accelerator/ Incubator/ Co Working Space,Future Business Incubator,https://futurebusinesscentre.co.uk,https://futurebusinesscentre.co.uk/future-business-incubator,"Nine months of dedicated start-up support to accelerate your growth, open up new opportunities and develop your business in a sustainable way.Â  Collaborate and grow together with a cohort of other scaling start-ups to share wisdom, work through challenges and open up opportunities.

The programme will explore key startup areas and help you to combat unique challenges, giving you exclusive access to expert-led classes and workshops designed to accelerate your business.
",,Starting your business,,,https://www.growthhub.london/scheme/future-business-incubator/,Starting your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Allia Future Business Centre,"18 - 20 London Ln, London E8 3PR, UK",Hackney,51.541839,-0.056284,Number not found,Accelerator/ Incubator/ Co Working Space,The Future 20,https://futurebusinesscentre.co.uk,https://futurebusinesscentre.co.uk/future-20,"The Future 20 is a 12-18 month incubator programme for 20 of the most innovative startups who are working to address the most pressing global and local challenges. The national programme is looking for start-ups who can inspire and excite with their solutions for creating change. From developing low cost technology for water filtration that could impact the lives of millions in the developing world to using contactless technology to improve the lives of homeless people in the UK, your idea should have the potential to change lives. Through the Future 20 programme, participants have access to: 
    Mentorship from entrepreneurs and investors
    Introductions to funders
    Specialist business advice
    Business development support
    Specialist partners for industry insight
    Free workspace
    Partners all over the UK to help support and elevate your start-up
The Future 20 is a free, no equity programme and is delivered by a range of impressive partners including J.P Morgan and Stone King.",,Mentoring|Starting your business,,,https://www.growthhub.london/scheme/the-future-20/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Alliance Venture,"22 Wenlock Rd, Hoxton, London N1 7GU, UK",Hackney,51.530785,-0.093391,Number not found,Investor/ Funding Org,Alliance venture early stage investment,https://allianceventure.com/,https://allianceventure.com/,"Alliance Venture is a venture capital firm based in Oslo and Palo Alto investing in exceptional early-stage tech companies, providing active support to entrepreneurs with global growth ambitions.",,,,,,,,,,,x,,,,,,x,,,x,x,x,,x,,,
Alpina Partners,address not found,No borough found on the website,No latitude found,No longitude found,+49 89 122280820,Investor/ Funding Org,Alpina Partners Venture Capital,http://www.alpinapartners.com/,http://www.alpinapartners.com/,"Alpina Partners invests in the following four sectors: software, chemicals and materials, industrials and technology-enabled business services. 
Alpina Partners focusses on  focus on Europe with an emphasis on DACH (Germany, Austria and Switzerland), Benelux, the UK, Ireland, and the Nordic region. 
Aplina Partners invests between € 7.5 and 15 million per deal (up to € 30 million together with co-investing LPs).",,,,,,,x,,x,,x,,,,x,,x,,,,,x,,,x,x,
Alternative Business Funding,"Churchill House, 142-146 Old Street, London, England, EC1V 9BW",Islington,51.524902,-0.091027,Number not found,Investor/ Funding Org,Alternative Business Funding Finder,https://www.alternativebusinessfunding.co.uk/,https://www.alternativebusinessfunding.co.uk/,Alternative Business Funding provide an easy way for SMEs to find a vast array of funding choices.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Altogether Different,"133 Rye Ln Bussey Building, London SE15 4ST, United Kingdom",Southwark,51.469906,-0.068213,Number not found,Enterprise Agency,Diversity training,http://www.altogether-different.com/,,"Cheerleaders for humans, creativity and working together. Alltogether different works with you to create diversity-led, inclusive, innovative and prosperous working cultures.",,,,,,,,,,,,,,,,,,,,,,,,x,x,,
Amadeus Capital,"130 Jermyn St, St. James's, London SW1Y 4UR, UK",Westminster,51.509436,-0.133189,+44 330 024 0777,Investor/ Funding Org,Amadeus Capital,https://www.amadeuscapital.com/,https://www.amadeuscapital.com/,"Amadeus Capital invests seed, start-up and scale capital for early stage companies IP based in or growing from the UK.",,,,,,,,,,,x,,,,,,x,,,x,x,,,x,,,
Angel CoFund,"15 Canada Square, London, E14 5GL",Tower Hamlets,51.505395,-0.016276,Number not found,Investor/ Funding Org,Angel CoFund,http://www.angelcofund.co.uk,http://www.angelcofund.co.uk,The fund invests right across the UK and is happy to consider investments in almost any sector. While the typical first round investment tends to be in the region of £100k - £1 million the fund actively participates in follow on rounds so the overall investment in a company can be much higher.,Business growth|Business start up|Raising finance,Financing your business|Starting your business,"Â£100,000 - Â£250,000|Â£250,000 - Â£500,000|Â£500,000+",Equity,https://www.growthhub.london/scheme/angel-cofund/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Angel.London,"Vantage Way, The Fulcrum, Poole, Dorset, BH12 4NU","Bournemouth, Christchurch and Poole",50.751679,-1.944727,Number not found,BID,Angel.London Business Improvement District,http://www.angel.london,http://www.angel.london,"Angel.London is a business improvement district (BID) dedicated to growing the local economy and making the Angel an even better place to live, work and invest in.

",Business growth|Business planning,Advice and Guidance|Premises and open workspace,,,https://www.growthhub.london/scheme/angel-london-business-improvement-district/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Angels Den,"1-2 Faulkners Alley, Clerkenwell, London N1 9AB, UK",Islington,51.53274,-0.122157,Number not found,Investor/ Funding Org,Angels Den,https://www.angelsden.com/,https://www.angelsden.com/get-funding/,"Angels Den aims to raise between £50,000 - £1m for the companies they select to pitch.",,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x,x,
Angels Den,"1-2 Faulkners Alley, Clerkenwell, London N1 9AB, UK",Islington,51.53274,-0.122157,Number not found,Investor/ Funding Org,Angel Den: Angel-led Crowdfunding,http://www.angelsden.com,http://www.angelsden.com,"Angels Den is an angel-led crowdfunding platform where angel investors and experienced business people invest in pre-vetted SMEs. Angels Den matches entrepreneurs with experienced angel investors who can provide the funding, expertise and connections to take a businesses to the next level.
",Business growth|Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£25,000 - Â£100,000",Crowdfunding|Equity,https://www.growthhub.london/scheme/angel-led-crowdfunding/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
AngelsCube,"57 Rathbone Pl, Fitzrovia, London W1T 1HE, UK",Westminster,51.516374,-0.133439,+44 20 7193 3320,Accelerator/ Incubator/ Co Working Space,AngelsCube,http://angelscube.com/,http://angelscube.com/,Investment-led accelerator helping founders build successful businesses.,,,,,,,,,,,x,,,,,,x,,,x,x,x,,x,x,,
Apprenticemakers,"96 Euston Road, London, NW1 2DB",Camden,51.529985,-0.127014,Number not found,Enterprise Agency,Apprenticemakers Membership,https://apprenticemakers.co.uk/,https://apprenticemakers.co.uk/,"Apprenticemakers runs a number of workshops and e-learning courses to help businesses build their apprenticeship knowledge.
",Business growth|HR,Finding and growing your team|Advice and Guidance,,,https://www.growthhub.london/scheme/apprenticemakers-membership/,Finding and growing your team,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Arts Council,"21 Bloomsbury St, Fitzrovia, London WC1B 3HF, UK",Camden,51.518165,-0.128479,Number not found,Investor/ Funding Org,Grants for the Arts,http://www.artscouncil.org.uk,http://www.artscouncil.org.uk/funding/grants-arts,"The Arts Council provides grants for activities that engage people in England in arts activities and that help artists and arts organisations carry out their work. Awards range from Â£1,000 to Â£100,000 to support a wide variety of arts-related activities, from dance to visual arts, literature to theatre and music to combined arts.
",Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£25,000 - Â£100,000",Grant,https://www.growthhub.london/scheme/grants-for-the-arts/,Financing your business,,,,x,,,,,,,,,,x,x,x,x,x,x,x,x
Asset Advantage,"69 Great Hampton Street, Birmingham, B18 6EW",Birmingham,52.490834,-1.910692,Number not found,Investor/ Funding Org,Lease-based Finance,http://www.assetadvantage.co.uk,https://www.assetadvantage.co.uk/content/lease-finance/,"Asset Advantage provides lease-based finance products to help UK firms to buy assets. Rental payments are typically made monthly, enabling businesses to match costs to the income that the asset generates and to its depreciation profile.
",Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000",Loan,https://www.growthhub.london/scheme/asset-finance/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
Asset Match Ltd.,"C/O Anthony Gold Solicitors, 169 Walworth Road, London, United Kingdom, SE17 1RW",Southwark,51.491359,-0.097154,+44 20 7248 2788,Investor/ Funding Org,Asset Match Private Market,https://www.assetmatch.com/,http://www.assetmatch.com/fees/private-market/,"Asset Match Private Market is an online marketplace for companies in the UK that wish to raise capital for a potential future IPO, or for business development. The platform can also help business owners access new investors and provide exit opportunities for existing shareholders.
",Business growth|Raising finance,Financing your business,"Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Equity|Loan,https://www.growthhub.london/scheme/asset-match-private-market/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Association of Business Mentors,"71-75 Shelton Street, London, Greater London, United Kingdom, WC2H 9JQ",Camden,51.514897,-0.123615,Number not found,Network/ Membership Org,Association of Business Mentors,http://www.associationofbusinessmentors.org,http://www.associationofbusinessmentors.org/membership/member-profile/,"The Association of Business Mentors is a trade body for business mentors in the UK and Ireland. It provides a directory of business mentors across the UK. Businesses can search for mentors by location, as well as by their specialisms.

",Business growth|Business planning|Business start up,Starting your business|Managing your business|Accessing new business,,,https://www.growthhub.london/scheme/association-of-business-mentors/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Astia,"The Gallery, 14 Upland Road, Dulwich, London, United Kingdom, SE22 9EE",Southwark,51.457481,-0.070077,Number not found,Investor/ Funding Org,Astia,http://astia.org/,http://astia.org/,"Astia’s model is designed to change the way our ecosystem looks at and evaluates high potential organizations, increasing the recognition of, and investment into women entrepreneurs and their teams.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Atomico,"50 New Bond St, Mayfair, London W1S 1BJ, UK",Westminster,51.512557,-0.144504,Number not found,Investor/ Funding Org,Atomico,http://www.atomico.com/,http://www.atomico.com/,Atomico partners with Europe’s most ambitious tech founders at Series A and beyond.,,,,,,,,,,,x,,,,,,x,,,,,x,x,x,x,x,
Ayming UK,"4 More London Riverside, London SE1 2AU, UK",Southwark,51.504413,-0.080371,+44 20 3058 5800,Enterprise Agency,R&D Tax Relief,http://www.ayming.co.uk,http://www.ayming.co.uk/rd-tax/,"Ayming is an international consultancy firm, with offices in 15 countries across Europe, Asia and North America. Ayming UK provides R&amp;D tax relief advice to help firms navigate and make the most of the R&amp;D tax relief available to them.
",Innovation and development|Managing finance|R&amp;D,Consultancy|Managing your business,,,https://www.growthhub.london/scheme/rd-tax-relief/,Financing your business|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Ayming UK,"4 More London Riverside, London SE1 2AU, UK",Southwark,51.504413,-0.080371,+44 20 3058 5800,Enterprise Agency,VAT Services,http://www.ayming.co.uk,http://www.ayming.co.uk/vat/vat/,"Ayming is an international consultancy firm, with offices in 15 countries across Europe, Asia and North America. Ayming UK provides a range of services to support business owners with VAT compliance, recovery and refunds, and it also offers general VAT advice.",Legal compliance issues|Managing finance,Advice and Guidance|Consultancy|Managing your business,,,https://www.growthhub.london/scheme/vat-services/,Financing your business|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Ayming UK,"4 More London Riverside, London SE1 2AU, UK",Southwark,51.504413,-0.080371,+44 20 3058 5800,Enterprise Agency,Procurement Optimisation,http://www.ayming.co.uk,http://www.ayming.co.uk/operations/operations-performance/procurement-supply-chain-performance/,"Ayming is an international consultancy firm, with offices in 15 countries across Europe, Asia and North America. Ayming UK's purchasing experts will identify opportunities for cost savings and optimisation, and then help business owners to implement suitable procurement strategies, drawing on industry knowledge.

",Business planning|Managing finance,Advice and Guidance|Consultancy|Managing your business,,,https://www.growthhub.london/scheme/procurement-optimisation/,Financing your business|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
B&F,"20-22  Bedford Row, 4th Floor, London, England, WC1R 4EB",Camden,51.520512,-0.116145,Number not found,Enterprise Agency,B&F Business Support Services,http://bfsc.co.uk/about-us,,"B&amp;F Services is a business support provider that helps local start ups, entrepreneurs and small to medium-sized businesses. It supports businesses to grow and develop by providing help with pre-start up, business planning and strategy, financing and accounting, sales and industry-focused training. In addition, B&amp;F also helps businesses to relocate to the UK.
",Business growth|Business planning|Business start up|Managing finance|Raising finance|Sales and marketing,Advice and Guidance|Consultancy|Starting your business,,,https://www.growthhub.london/scheme/business-and-finance-services/,Starting your business|Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,
BBC Studios,"2 Queen Anne's Gate Buildings, Dartmouth Street, London, SW1H 9BP",Westminster,51.5005,-0.131652,Number not found,Accelerator/ Incubator/ Co Working Space,BBC Studios,https://www.bbcstudios.com/,https://www.bbcstudios.com/,Labs is BBC's worldwide Digital Media Start-up Accelerator,,,,,,,,,,x,x,,,,,,,,,x,x,x,,x,x,,
BGF (Business Growth Fund),"London Borough Of Waltham Forest, Waltham Forest Town Hall, Forest Road, Walthamstow, London, United Kingdom, E17 4JF",Waltham Forest,51.591165,-0.013523,Number not found,Investor/ Funding Org,BGF (Business Growth Fund),http://www.bgf.co.uk,http://www.bgf.co.uk,"BGF (Business Growth Fund) supports established companies with strong growth potential and turnover in the range of Â£5 million to Â£100 million. Initial investments typically range from Â£2 million to Â£10 million.
",Business growth|Raising finance,Financing your business,"Â£500,000+",Equity,https://www.growthhub.london/scheme/bgf-business-growth-fund/,Financing your business,,x,x,,x,x,x,,,x,,x,,,,x,x,x,x,x,
BGF Ventures,"13-15 York Buildings, Charing Cross, London WC2N 6JU, UK",Westminster,51.508769,-0.122941,Number not found,Investor/ Funding Org,Early stage investment,https://www.bgf.co.uk/ventures-2/,https://www.bgf.co.uk/ventures-2/,"BGF invests in entrepreneurs who are building something important – something that with the right investment and long-term support, might even change the world. 
BGF invests throughout the UK and Ireland, across every sector of the economy and at all stages of growth",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
BIg Society Capital,"8-10 New Fetter Ln, Holborn, London EC4A 1AZ, UK",City of London,51.5168,-0.1084,+44 20 7186 2500,Investor/ Funding Org,Social Investment for Finance Intermediaries,http://www.bigsocietycapital.com,http://www.bigsocietycapital.com/what-we-do/investor/partner-us/apply-investment,"Big Society Capital invests in social investment finance intermediaries (SIFIs), such as fund managers or specialist banks serving the social enterprise sector, which then provide finance and support to charities and social enterprises.
",Raising finance|Social enterprise,Financing your business,"Â£500,000+",Loan,https://www.growthhub.london/scheme/social-investment/,Financing your business,,,,,,,,,,,,,,,x,x,x,x,x,x,x
BLOOM.SPACE,"52 Gower St, Bloomsbury, London WC1E 6EB, UK",Camden,51.521522,-0.131314,Number not found,Accelerator/ Incubator/ Co Working Space,BLOOM.SPACE,https://bloom.space/,https://bloom.space/london,"BLOOM.SPACE provides shared workspace and hot-desks for start ups and growing firms in Bloomsbury. Members can access in-house IT support, as well as have consultations with chartered accountants, intellectual property lawyers and business law experts.

BLOOM.SPACE also runs the Bloom Incubator which supports firms to start up and grow. Bloom Incubator members can book time with experienced mentors, coaches and industry experts. For more information about the incubator, <a href=""https://bloom.space/incubator"">please click here</a>.",,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/bloom-space/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,
